datetime,time,EC_slab1,EC_slab2,WC_slab1,WC_slab2,t_slab1,t_slab2
,43815,4.4,4.7,89.05,91,22.1,21.9
,43815,4.4,4.7,89.05,91,22.1,21.9
,43815,4.4,4.7,89.05,91,22.1,21.9
,43815,4.4,4.7,89.05,91,22.1,21.9
,43815,4.4,4.7,89.05,91,22.1,21.9
,43815,4.4,4.7,89.05,91,22.1,21.9
,43815,4.4,4.7,89.05,91,22.1,21.9
,43815,4.4,4.7,89.05,91,22.1,21.9
,43815,4.4,4.7,89.05,91,22.1,21.9
,43815,4.4,4.7,89.05,91,22.1,21.9
,43815,4.4,4.7,89.05,91,22.1,21.9
,43815,4.4,4.7,89.05,91,22.1,21.9
,43815,4.4,4.7,89.05,91,22.1,21.9
,43815,4.4,4.7,89.05,91,22.1,21.9
,43815,4.4,4.7,89.05,91,22.1,21.9
,43815.1,4.4,4.7,89.05,91,22.1,21.9
,43815.1,4.4,4.7,89.05,91,22.1,21.9
,43815.1,4.4,4.7,89.05,91,22.1,21.9
,43815.1,4.4,4.7,89.05,91,22.1,21.9
,43815.1,4.4,4.7,89.05,91,22.1,21.9
,43815.1,4.4,4.7,89.05,91,22.1,21.9
,43815.1,4.4,4.7,89.05,91,22.1,21.9
,43815.1,4.4,4.7,89.05,91,22.1,21.9
,43815.1,4.4,4.7,89.05,91,22.1,21.9
,43815.1,4.4,4.7,89.05,91,22.1,21.9
,43815.1,4.4,4.7,89.05,91,22.1,21.9
,43815.1,4.4,4.7,89.05,91,22.1,21.9
,43815.1,4.4,4.7,89.05,91,22.1,21.9
,43815.1,4.4,4.7,89.05,91,22.1,21.9
,43815.1,4.4,4.7,89.05,91,22.1,21.9
,43815.1,4.4,4.7,89.05,91,22.1,21.9
,43815.1,4.4,4.7,89.05,91,22.1,21.9
,43815.1,4.4,4.7,89.05,91,22.1,21.9
,43815.1,4.4,4.7,89.05,91,22.1,21.9
,43815.1,4.4,4.7,89.05,91,22.1,21.9
,43815.1,4.4,4.7,89.05,91,22.1,21.9
,43815.1,4.4,4.7,89.05,91,22.1,21.9
,43815.1,4.4,4.7,89.05,91,22.1,21.9
,43815.1,4.4,4.7,89.05,91,22.1,21.9
,43815.1,4.4,4.7,89.05,91,22.1,21.9
,43815.1,4.4,4.7,89.05,91,22.1,21.9
,43815.1,4.4,4.7,89.05,91,22.1,21.9
,43815.1,4.4,4.7,89.05,91,22.1,21.9
,43815.1,4.4,4.7,89.05,91,22.1,21.9
,43815.2,4.4,4.7,89.05,91,22.1,21.9
,43815.2,4.4,4.7,89.05,91,22.1,21.9
,43815.2,4.4,4.7,89.05,91,22.1,21.9
,43815.2,4.4,4.7,89.05,91,22.1,21.9
,43815.2,4.4,4.7,89.05,91,22.1,21.9
,43815.2,4.4,4.7,89.05,91,22.1,21.9
,43815.2,4.4,4.7,89.05,91,22.1,21.9
,43815.2,4.4,4.7,89.05,91,22.1,21.9
,43815.2,4.4,4.7,89.05,91,22.1,21.9
,43815.2,4.4,4.7,89.05,91,22.1,21.9
,43815.2,4.4,4.7,89.05,91,22.1,21.9
,43815.2,4.4,4.7,89.05,91,22.1,21.9
,43815.2,4.4,4.7,89.05,91,22.1,21.9
,43815.2,4.4,4.7,89.05,91,22.1,21.9
,43815.2,4.4,4.7,89.05,91,22.1,21.9
,43815.2,4.4,4.7,89.05,91,22.1,21.9
,43815.2,4.4,4.7,89.05,91,22.1,21.9
,43815.2,4.4,4.7,89.05,91,22.1,21.9
,43815.2,4.4,4.7,89.05,91,22.1,21.9
,43815.2,4.4,4.7,89.05,91,22.1,21.9
,43815.2,4.4,4.7,89.05,91,22.1,21.9
,43815.2,4.4,4.7,89.05,91,22.1,21.9
,43815.2,4.4,4.7,89.05,91,22.1,21.9
,43815.2,4.4,4.7,89.05,91,22.1,21.9
,43815.2,4.4,4.7,89.05,91,22.1,21.9
,43815.2,4.4,4.7,89.05,91,22.1,21.9
,43815.2,4.4,4.7,89.05,91,22.1,21.9
,43815.2,4.4,4.7,89.05,91,22.1,21.9
,43815.2,4.4,4.7,89.05,91,22.1,21.9
,43815.3,4.4,4.7,89.05,91,22.1,21.9
,43815.3,4.4,4.7,89.05,91,22.1,21.9
,43815.3,4.4,4.7,89.05,91,22.1,21.9
,43815.3,4.4,4.7,89.05,91,22.1,21.9
,43815.3,4.4,4.7,89.05,91,22.1,21.9
,43815.3,4.4,4.7,89.05,91,22.1,21.9
,43815.3,4.4,4.7,89.05,91,22.1,21.9
,43815.3,4.4,4.7,89.05,91,22.1,21.9
,43815.3,4.4,4.7,89.05,91,22.1,21.9
,43815.3,4.4,4.7,89.05,91,22.1,21.9
,43815.3,4.4,4.7,89.05,91,22.1,21.9
,43815.3,4.4,4.7,89.05,91,22.1,21.9
,43815.3,4.4,4.7,89.05,91,22.1,21.9
,43815.3,4.4,4.7,89.05,91,22.1,21.9
,43815.3,4.4,4.7,89.05,91,22.1,21.9
,43815.3,4.4,4.7,89.05,91,22.1,21.9
,43815.3,4.4,4.7,89.05,91,22.1,21.9
,43815.3,4.4,4.7,89.05,91,22.1,21.9
,43815.3,4.4,4.7,89.05,91,22.1,21.9
,43815.3,4.4,4.7,89.05,91,22.1,21.9
,43815.3,4.4,4.7,89.05,91,22.1,21.9
,43815.3,4.4,4.7,89.05,91,22.1,21.9
,43815.3,4.4,4.7,89.05,91,22.1,21.9
,43815.3,4.4,4.7,89.05,91,22.1,21.9
,43815.3,4.4,4.7,89.05,91,22.1,21.9
,43815.3,4.4,4.7,89.05,91,22.1,21.9
,43815.3,4.4,4.7,89.05,91,22.1,21.9
,43815.3,4.4,4.7,89.05,91,22.1,21.9
,43815.4,4.4,4.7,89.05,91,22.1,21.9
,43815.4,4.4,4.7,89.05,91,22.1,21.9
,43815.4,4.4,4.7,89.05,91,22.1,21.9
,43815.4,4.4,4.7,89.05,91,22.1,21.9
,43815.4,4.4,4.7,89.05,91,22.1,21.9
,43815.4,4.4,4.7,89.05,91,22.1,21.9
,43815.4,4.4,4.7,89.05,91,22.1,21.9
,43815.4,4.4,4.7,89.05,91,22.1,21.9
,43815.4,4.4,4.7,89.05,91,22.1,21.9
,43815.4,4.4,4.7,89.05,91,22.1,21.9
,43815.4,4.4,4.7,89.05,91,22.1,21.9
,43815.4,4.4,4.7,89.05,91,22.1,21.9
,43815.4,4.4,4.7,89.05,91,22.1,21.9
,43815.4,4.4,4.7,89.05,91,22.1,21.9
,43815.4,4.4,4.7,89.05,91,22.1,21.9
,43815.4,4.4,4.7,89.05,91,22.1,21.9
,43815.4,4.4,4.7,89.05,91,22.1,21.9
,43815.4,4.4,4.7,89.05,91,22.1,21.9
,43815.4,4.4,4.7,89.05,91,22.1,21.9
,43815.4,4.4,4.7,89.05,91,22.1,21.9
,43815.4,4.4,4.7,89.05,91,22.1,21.9
,43815.4,4.4,4.7,89.05,91,22.1,21.9
,43815.4,4.4,4.7,89.05,91,22.1,21.9
,43815.4,4.4,4.7,89.05,91,22.1,21.9
,43815.4,4.4,4.7,89.05,91,22.1,21.9
,43815.4,4.4,4.7,89.05,91,22.1,21.9
,43815.4,4.4,4.7,89.05,91,22.1,21.9
,43815.4,4.4,4.7,89.05,91,22.1,21.9
,43815.4,4.4,4.7,89.05,91,22.1,21.9
,43815.5,4.4,4.7,89.05,91,22.1,21.9
,43815.5,4.4,4.7,89.05,91,22.1,21.9
,43815.5,4.4,4.7,89.05,91,22.1,21.9
,43815.5,4.4,4.7,89.05,91,22.1,21.9
,43815.5,4.4,4.7,89.05,91,22.1,21.9
,43815.5,4.4,4.7,89.05,91,22.1,21.9
,43815.5,4.4,4.7,89.05,91,22.1,21.9
,43815.5,4.4,4.7,89.05,91,22.1,21.9
,43815.5,4.4,4.7,89.05,91,22.1,21.9
,43815.5,4.4,4.7,89.05,91,22.1,21.9
,43815.5,4.4,4.7,89.05,91,22.1,21.9
,43815.5,4.4,4.7,89.05,91,22.1,21.9
,43815.5,4.4,4.7,89.05,91,22.1,21.9
,43815.5,4.4,4.7,89.05,91,22.1,21.9
,43815.5,4.4,4.7,89.05,91,22.1,21.9
,43815.5,4.4,4.7,89.05,91,22.1,21.9
,43815.5,4.4,4.7,89.05,91,22.1,21.9
,43815.5,4.4,4.7,89.05,91,22.1,21.9
,43815.5,4.4,4.7,89.05,91,22.1,21.9
,43815.5,4.4,4.7,89.05,91,22.1,21.9
,43815.5,4.4,4.7,89.05,91,22.1,21.9
,43815.5,4.4,4.7,89.05,91,22.1,21.9
,43815.5,4.4,4.7,89.05,91,22.1,21.9
,43815.5,4.4,4.7,89.05,91,22.1,21.9
,43815.5,4.4,4.7,89.05,91,22.1,21.9
,43815.5,4.4,4.7,89.05,91,22.1,21.9
,43815.5,4.4,4.7,89.05,91,22.1,21.9
,43815.5,4.40084,4.70042,89.05,91,22.073,21.8738
,43815.5,4.40169,4.70084,89.05,91,22.046,21.8477
,43815.6,4.40253,4.70127,89.05,91,22.019,21.8215
,43815.6,4.40338,4.70169,89.05,91,21.992,21.7954
,43815.6,4.40422,4.70211,89.05,91,21.965,21.7692
,43815.6,4.40506,4.70253,89.05,91,21.938,21.743
,43815.6,4.40591,4.70295,89.05,91,21.911,21.7169
,43815.6,4.40675,4.70338,89.05,91,21.884,21.6907
,43815.6,4.40759,4.7038,89.05,91,21.857,21.6646
,43815.6,4.40844,4.70422,89.05,91,21.83,21.6384
,43815.6,4.40928,4.70464,89.05,91,21.803,21.6122
,43815.6,4.41013,4.70506,89.05,91,21.7759,21.5861
,43815.6,4.41097,4.70549,89.05,91,21.7489,21.5599
,43815.6,4.41181,4.70591,89.05,91,21.7219,21.5338
,43815.6,4.41266,4.70633,89.05,91,21.6949,21.5076
,43815.6,4.4135,4.70675,89.05,91,21.6679,21.4814
,43815.6,4.41435,4.70717,89.05,91,21.6409,21.4553
,43815.6,4.41519,4.70759,89.05,91,21.6139,21.4291
,43815.6,4.41603,4.70802,89.05,91,21.5869,21.403
,43815.6,4.41688,4.70844,89.05,91,21.5599,21.3768
,43815.6,4.41772,4.70886,89.05,91,21.5329,21.3506
,43815.6,4.41857,4.70928,89.05,91,21.5059,21.3245
,43815.6,4.41941,4.7097,89.05,91,21.4789,21.2983
,43815.6,4.42025,4.71013,89.05,91,21.4519,21.2722
,43815.6,4.4211,4.71055,89.05,91,21.4249,21.246
,43815.6,4.42194,4.71097,89.05,91,21.3979,21.2198
,43815.6,4.42278,4.71139,89.05,91,21.3709,21.1937
,43815.6,4.42363,4.71181,89.05,91,21.3439,21.1675
,43815.6,4.42447,4.71224,89.05,91,21.3169,21.1414
,43815.6,4.42532,4.71266,89.05,91,21.2899,21.1152
,43815.6,4.42616,4.71308,89.05,91,21.2629,21.089
,43815.7,4.427,4.7135,89.05,91,21.2359,21.0629
,43815.7,4.42785,4.71392,89.05,91,21.2089,21.0367
,43815.7,4.42869,4.71435,89.05,91,21.1819,21.0105
,43815.7,4.42954,4.71477,89.05,91,21.1549,20.9844
,43815.7,4.43038,4.71519,89.05,91,21.1278,20.9582
,43815.7,4.43122,4.71561,89.05,91,21.1008,20.9321
,43815.7,4.43207,4.71603,89.05,91,21.0738,20.9059
,43815.7,4.43291,4.71646,89.05,91,21.0468,20.8797
,43815.7,4.43376,4.71688,89.05,91,21.0198,20.8536
,43815.7,4.4346,4.7173,89.05,91,20.9928,20.8274
,43815.7,4.43544,4.71772,89.05,91,20.9658,20.8013
,43815.7,4.43629,4.71814,89.05,91,20.9388,20.7751
,43815.7,4.43713,4.71857,89.05,91,20.9118,20.7489
,43815.7,4.43797,4.71899,89.05,91,20.8848,20.7228
,43815.7,4.43882,4.71941,89.05,91,20.8578,20.6966
,43815.7,4.43966,4.71983,89.05,91,20.8308,20.6705
,43815.7,4.44051,4.72025,89.05,91,20.8038,20.6443
,43815.7,4.44135,4.72068,89.05,91,20.7768,20.6181
,43815.7,4.44219,4.7211,89.05,91,20.7498,20.592
,43815.7,4.44304,4.72152,89.05,91,20.7228,20.5658
,43815.7,4.44388,4.72194,89.05,91,20.6958,20.5397
,43815.7,4.44473,4.72236,89.05,91,20.6688,20.5135
,43815.7,4.44557,4.72278,89.05,91,20.6418,20.4873
,43815.7,4.44641,4.72321,89.05,91,20.6148,20.4612
,43815.7,4.44726,4.72363,89.05,91,20.5878,20.435
,43815.7,4.4481,4.72405,89.05,91,20.5608,20.4089
,43815.7,4.44895,4.72447,89.05,91,20.5338,20.3827
,43815.7,4.44979,4.72489,89.05,91,20.5068,20.3565
,43815.8,4.45063,4.72532,89.05,91,20.4797,20.3304
,43815.8,4.45148,4.72574,89.05,91,20.4527,20.3042
,43815.8,4.45232,4.72616,89.05,91,20.4257,20.2781
,43815.8,4.45316,4.72658,89.05,91,20.3987,20.2519
,43815.8,4.45401,4.727,89.05,91,20.3717,20.2257
,43815.8,4.45485,4.72743,89.05,91,20.3447,20.1996
,43815.8,4.4557,4.72785,89.05,91,20.3177,20.1734
,43815.8,4.45654,4.72827,89.05,91,20.2907,20.1473
,43815.8,4.45738,4.72869,89.05,91,20.2637,20.1211
,43815.8,4.45823,4.72911,89.05,91,20.2367,20.0949
,43815.8,4.45907,4.72954,89.05,91,20.2097,20.0688
,43815.8,4.45992,4.72996,89.05,91,20.1827,20.0426
,43815.8,4.46076,4.73038,89.05,91,20.1557,20.0165
,43815.8,4.4616,4.7308,89.05,91,20.1287,19.9903
,43815.8,4.46245,4.73122,89.05,91,20.1017,19.9641
,43815.8,4.46329,4.73165,89.05,91,20.0747,19.938
,43815.8,4.46414,4.73207,89.05,91,20.0477,19.9118
,43815.8,4.46498,4.73249,89.05,91,20.0207,19.8857
,43815.8,4.46582,4.73291,89.05,91,19.9937,19.8595
,43815.8,4.46667,4.73333,89.05,91,19.9667,19.8333
,43815.8,4.46751,4.73376,89.05,91,19.9397,19.8072
,43815.8,4.46835,4.73418,89.05,91,19.9127,19.781
,43815.8,4.4692,4.7346,89.05,91,19.8857,19.7549
,43815.8,4.47004,4.73502,89.05,91,19.8586,19.7287
,43815.8,4.47089,4.73544,89.05,91,19.8316,19.7025
,43815.8,4.47173,4.73586,89.05,91,19.8046,19.6764
,43815.8,4.47257,4.73629,89.05,91,19.7776,19.6502
,43815.8,4.47342,4.73671,89.05,91,19.7506,19.6241
,43815.8,4.47426,4.73713,89.05,91,19.7236,19.5979
,43815.9,4.47511,4.73755,89.05,91,19.6966,19.5717
,43815.9,4.47595,4.73797,89.05,91,19.6696,19.5456
,43815.9,4.47679,4.7384,89.05,91,19.6426,19.5194
,43815.9,4.47764,4.73882,89.05,91,19.6156,19.4932
,43815.9,4.47848,4.73924,89.05,91,19.5886,19.4671
,43815.9,4.47932,4.73966,89.05,91,19.5616,19.4409
,43815.9,4.48017,4.74008,89.05,91,19.5346,19.4148
,43815.9,4.48101,4.74051,89.05,91,19.5076,19.3886
,43815.9,4.48186,4.74093,89.05,91,19.4806,19.3624
,43815.9,4.4827,4.74135,89.05,91,19.4536,19.3363
,43815.9,4.48354,4.74177,89.05,91,19.4266,19.3101
,43815.9,4.48439,4.74219,89.05,91,19.3996,19.284
,43815.9,4.48523,4.74262,89.05,91,19.3726,19.2578
,43815.9,4.48608,4.74304,89.05,91,19.3456,19.2316
,43815.9,4.48692,4.74346,89.05,91,19.3186,19.2055
,43815.9,4.48776,4.74388,89.05,91,19.2916,19.1793
,43815.9,4.48861,4.7443,89.05,91,19.2646,19.1532
,43815.9,4.48945,4.74473,89.05,91,19.2376,19.127
,43815.9,4.4903,4.74515,89.05,91,19.2105,19.1008
,43815.9,4.49114,4.74557,89.05,91,19.1835,19.0747
,43815.9,4.49198,4.74599,89.05,91,19.1565,19.0485
,43815.9,4.49283,4.74641,89.05,91,19.1295,19.0224
,43815.9,4.49367,4.74684,89.05,91,19.1025,18.9962
,43815.9,4.49451,4.74726,89.05,91,19.0755,18.97
,43815.9,4.49536,4.74768,89.05,91,19.0485,18.9439
,43815.9,4.4962,4.7481,89.05,91,19.0215,18.9177
,43815.9,4.49705,4.74852,89.05,91,18.9945,18.8916
,43815.9,4.49789,4.74895,89.05,91,18.9675,18.8654
,43815.9,4.49873,4.74937,89.05,91,18.9405,18.8392
,43816,4.49958,4.74979,89.05,91,18.9135,18.8131
,43816,4.50042,4.75021,89.05,91,18.8865,18.7869
,43816,4.50127,4.75063,89.05,91,18.8595,18.7608
,43816,4.50211,4.75105,89.05,91,18.8325,18.7346
,43816,4.50295,4.75148,89.05,91,18.8055,18.7084
,43816,4.5038,4.7519,89.05,91,18.7785,18.6823
,43816,4.50464,4.75232,89.05,91,18.7515,18.6561
,43816,4.50549,4.75274,89.05,91,18.7245,18.63
,43816,4.50633,4.75316,89.05,91,18.6975,18.6038
,43816,4.50717,4.75359,89.05,91,18.6705,18.5776
,43816,4.50802,4.75401,89.05,91,18.6435,18.5515
,43816,4.50886,4.75443,89.05,91,18.6165,18.5253
,43816,4.5097,4.75485,89.05,91,18.5895,18.4992
,43816,4.51055,4.75527,89.05,91,18.5624,18.473
,43816,4.51139,4.7557,89.05,91,18.5354,18.4468
,43816,4.51224,4.75612,89.05,91,18.5084,18.4207
,43816,4.51308,4.75654,89.05,91,18.4814,18.3945
,43816,4.51392,4.75696,89.05,91,18.4544,18.3684
,43816,4.51477,4.75738,89.05,91,18.4274,18.3422
,43816,4.51561,4.75781,89.05,91,18.4004,18.316
,43816,4.51646,4.75823,89.05,91,18.3734,18.2899
,43816,4.5173,4.75865,89.05,91,18.3464,18.2637
,43816,4.51814,4.75907,89.05,91,18.3194,18.2376
,43816,4.51899,4.75949,89.05,91,18.2924,18.2114
,43816,4.51983,4.75992,89.05,91,18.2654,18.1852
,43816,4.52068,4.76034,89.05,91,18.2384,18.1591
,43816,4.52152,4.76076,89.05,91,18.2114,18.1329
,43816,4.52236,4.76118,89.05,91,18.1844,18.1068
,43816,4.52321,4.7616,89.05,91,18.1574,18.0806
,43816.1,4.52405,4.76203,89.05,91,18.1304,18.0544
,43816.1,4.52489,4.76245,89.05,91,18.1034,18.0283
,43816.1,4.52574,4.76287,89.05,91,18.0764,18.0021
,43816.1,4.52658,4.76329,89.05,91,18.0494,17.9759
,43816.1,4.52743,4.76371,89.05,91,18.0224,17.9498
,43816.1,4.52827,4.76414,89.05,91,17.9954,17.9236
,43816.1,4.52911,4.76456,89.05,91,17.9684,17.8975
,43816.1,4.52996,4.76498,89.05,91,17.9414,17.8713
,43816.1,4.5308,4.7654,89.05,91,17.9143,17.8451
,43816.1,4.53165,4.76582,89.05,91,17.8873,17.819
,43816.1,4.53249,4.76624,89.05,91,17.8603,17.7928
,43816.1,4.53333,4.76667,89.05,91,17.8333,17.7667
,43816.1,4.53418,4.76709,89.05,91,17.8063,17.7405
,43816.1,4.53502,4.76751,89.05,91,17.7793,17.7143
,43816.1,4.53586,4.76793,89.05,91,17.7523,17.6882
,43816.1,4.53671,4.76835,89.05,91,17.7253,17.662
,43816.1,4.53755,4.76878,89.05,91,17.6983,17.6359
,43816.1,4.5384,4.7692,89.05,91,17.6713,17.6097
,43816.1,4.53924,4.76962,89.05,91,17.6443,17.5835
,43816.1,4.54008,4.77004,89.05,91,17.6173,17.5574
,43816.1,4.54093,4.77046,89.05,91,17.5903,17.5312
,43816.1,4.54177,4.77089,89.05,91,17.5633,17.5051
,43816.1,4.54262,4.77131,89.05,91,17.5363,17.4789
,43816.1,4.54346,4.77173,89.05,91,17.5093,17.4527
,43816.1,4.5443,4.77215,89.05,91,17.4823,17.4266
,43816.1,4.54515,4.77257,89.05,91,17.4553,17.4004
,43816.1,4.54599,4.773,89.05,91,17.4283,17.3743
,43816.1,4.54684,4.77342,89.05,91,17.4013,17.3481
,43816.1,4.54768,4.77384,89.05,91,17.3743,17.3219
,43816.2,4.54852,4.77426,89.05,91,17.3473,17.2958
,43816.2,4.54937,4.77468,89.05,91,17.3203,17.2696
,43816.2,4.55021,4.77511,89.05,91,17.2932,17.2435
,43816.2,4.55105,4.77553,89.05,91,17.2662,17.2173
,43816.2,4.5519,4.77595,89.05,91,17.2392,17.1911
,43816.2,4.55274,4.77637,89.05,91,17.2122,17.165
,43816.2,4.55359,4.77679,89.05,91,17.1852,17.1388
,43816.2,4.55443,4.77722,89.05,91,17.1582,17.1127
,43816.2,4.55527,4.77764,89.05,91,17.1312,17.0865
,43816.2,4.55612,4.77806,89.05,91,17.1042,17.0603
,43816.2,4.55696,4.77848,89.05,91,17.0772,17.0342
,43816.2,4.55781,4.7789,89.05,91,17.0502,17.008
,43816.2,4.55865,4.77932,89.05,91,17.0232,16.9819
,43816.2,4.55949,4.77975,89.05,91,16.9962,16.9557
,43816.2,4.56034,4.78017,89.05,91,16.9692,16.9295
,43816.2,4.56118,4.78059,89.05,91,16.9422,16.9034
,43816.2,4.56203,4.78101,89.05,91,16.9152,16.8772
,43816.2,4.56287,4.78143,89.05,91,16.8882,16.8511
,43816.2,4.56371,4.78186,89.05,91,16.8612,16.85
,43816.2,4.56456,4.78228,89.05,91,16.85,16.85
,43816.2,4.5654,4.7827,89.05,91,16.85,16.85
,43816.2,4.56624,4.78312,89.05,91,16.85,16.85
,43816.2,4.56709,4.78354,89.05,91,16.85,16.85
,43816.2,4.56793,4.78397,89.05,91,16.85,16.85
,43816.2,4.56878,4.78439,89.05,91,16.85,16.85
,43816.2,4.56962,4.78481,89.05,91,16.85,16.85
,43816.2,4.57046,4.78523,89.05,91,16.85,16.85
,43816.2,4.57131,4.78565,89.05,91,16.85,16.85
,43816.2,4.57215,4.78608,89.05,91,16.85,16.85
,43816.3,4.573,4.7865,89.05,91,16.85,16.85
,43816.3,4.57384,4.78692,89.05,91,16.85,16.85
,43816.3,4.57468,4.78734,89.05,91,16.85,16.85
,43816.3,4.57553,4.78776,89.05,91,16.85,16.85
,43816.3,4.57637,4.78819,89.05,91,16.85,16.85
,43816.3,4.57722,4.78861,89.05,91,16.85,16.85
,43816.3,4.57806,4.78903,89.05,91,16.85,16.85
,43816.3,4.5789,4.78945,89.05,91,16.85,16.85
