Date,Prod__datetime,Prod__time,Prod__ProdA,Prod__ProdB,Prod__avg_nr_harvested_trusses,Prod__Truss development time,Prod__Nr_fruits_ClassA,Prod__Weight_fruits_ClassA,Prod__Nr_fruits_ClassB,Prod__Weight_fruits_ClassB,Qual__datetime,Qual__time,Qual__Flavour,Qual__TSS,Qual__Acid,Qual__%Juice,Qual__Bite,Qual__Weight,Qual__DMC_fruit
2020-02-19,0.0,43880,0.037,0.0,0.1,50.0,0.0,128.0,0,0,,,,,,,,,
2020-02-24,0.0,43885,0.767,0.0,0.9,54.5,136.0,1271.0,0,0,,,,,,,,,
2020-02-28,0.0,43889,0.232,0.0,0.6,51.0,89.0,788.0,0,0,,,,,,,,,
2020-03-04,0.0,43894,0.778,0.0,1.5,55.1,226.0,2001.0,0,0,,,,,,,,,
2020-03-09,0.0,43899,0.248,0.0,0.9,53.6,133.0,1144.0,0,0,,,,,,,,,
2020-03-13,0.0,43903,0.354,0.0,0.7,52.4,83.0,811.0,0,0,,,,,,,,,
2020-03-18,0.0,43908,0.795,0.0,1.0,53.3,126.0,1230.0,0,0,,,,,,,,,
2020-03-23,0.0,43913,0.486,0.0,0.9,54.9,148.0,1297.5,0,0,,,,,,,,,
2020-03-27,0.0,43917,0.454,0.0,0.9,52.6,126.0,1069.0,0,0,,,,,,,,,
2020-04-01,0.0,43922,0.697,0.0,0.6,54.0,92.0,777.0,0,0,,,,,,,,,
2020-04-06,0.0,43927,0.398,0.0,0.9,51.1,125.0,1077.0,0,0,,,,,,,,,
2020-04-10,0.0,43931,0.595,0.0,1.2,53.1,181.0,1497.0,0,0,,,,,,,,,
2020-04-15,0.0,43936,0.588,0.0,0.9,49.6,117.0,1007.0,0,0,,,,,,,,,
2020-04-20,0.0,43941,0.72,0.0,1.2,50.0,159.0,1467.0,0,0,,,,,,,,,
2020-04-24,0.0,43945,0.519,0.0,0.8,49.2,113.0,1179.0,0,0,,,,,,,,,
2020-04-29,0.0,43950,0.995,0.0,1.2,48.7,173.0,1655.0,0,0,,,,,,,,,
2020-05-04,0.0,43955,0.613,0.0,0.7,47.0,105.0,1094.0,0,0,,,,,,,,,
2020-05-08,0.0,43959,0.688,0.0,1.2,47.6,184.0,1903.0,0,0,,,,,,,,,
2020-05-13,0.0,43964,0.88,0.0,1.0,48.3,156.0,1664.0,0,0,,,,,,,,,
2020-05-18,0.0,43969,0.67,0.0,0.3,47.0,48.0,514.0,0,0,,,,,,,,,
2020-05-22,0.0,43973,0.762,0.003,1.0,47.6,131.0,1446.0,19,185,,,,,,,,,
2020-05-26,0.0,43977,1.213,0.011,2.1,45.3,232.0,2613.0,18,162,,,,,,,,,
2020-05-29,0.0,43980,0.859,0.0,0.9,31.8,91.0,1093.0,0,0,,,,,,,,,
